Symbol,Name,InterestDate,Note,BuyDate1,SellDate1,BuyDate2,SellDate2,BuyDate3,SellDate3,BuyDate4,SellDate4,BuyDate5,SellDate5,BuyDate6,SellDate6,BuyDate7,SellDate7,BuyDate8,SellDate8,BuyDate9,SellDate9,BuyDate10,SellDate10
005930.KS,삼성전자,2025-05-06,,2025-07-07,2025-11-19,,,,,,,,,,,,,,,,,,
451250.KQ,삐아,2025-10-30,,2025-10-30,,,,,,,,,,,,,,,,,,,
002320.KS,한진,2025-05-13,,2025-05-22,,,,,,,,,,,,,,,,,,,
002800.KQ,신신제약약,2025-12-17,,2025-12-23,,,,,,,,,,,,,,,,,,,
004490.KS,세방전지,2025-01-07,,2025-03-19,,2025-05-21,,,,,,,,,,,,,,,,,
009520.KQ,포스코엠텍,2025-09-09,,2025-10-17,,,,,,,,,,,,,,,,,,,
011150.KS,CJ씨푸드,2025-11-18,,2025-12-12,,,,,,,,,,,,,,,,,,,
013310.KQ,아진산업,2025-05-06,,2025-04-18,,2025-12-01,,2025-10-16,,,,,,,,,,,,,,,
041830.KQ,인바디,2025-08-06,,2025-10-10,,,,,,,,,,,,,,,,,,,
058430.KS,포스코스틸리온,2025-03-04,,2025-05-01,,,,,,,,,,,,,,,,,,,
078600.KQ,대주전자재료,2025-01-10,,2025-04-18,,2025-05-23,,2025-10-17,,,,,,,,,,,,,,,
086960.KQ,MDS테크,2025-10-30,,2025-11-04,,2025-12-11,,2025-12-18,,,,,,,,,,,,,,,
101970.KQ,우양에이치씨씨,2025-12-03,,2025-12-11,,,,,,,,,,,,,,,,,,,
123690.KS,한국화장품품,2025-10-30,,2025-11-12,,,,,,,,,,,,,,,,,,,
232680.KQ,라온테크,2025-10-27,,2025-10-27,2025-12-11,2025-12-18,,,,,,,,,,,,,,,,,
281740.KQ,레이크머티리얼즈즈,2025-12-10,,2025-12-10,,2025-12-19,,,,,,,,,,,,,,,,,
293580.KQ,나우IB,2025-12-15,,2025-12-16,,,,,,,,,,,,,,,,,,,
297090.KQ,씨에스베어링,2025-10-23,,2025-10-27,,2025-12-09,,,,,,,,,,,,,,,,,
352090.KQ,스톰테크,2025-05-13,,2025-05-13,,2025-09-12,,2025-12-10,,,,,,,,,,,,,,,
396470.KQ,워트,2025-05-14,,2025-05-15,,2025-09-09,,2025-10-10,,,,,,,,,,,,,,,
457190.KS,이수스페셜티케미컬,2025-09-23,,2025-09-23,2025-12-08,2025-10-17,,2025-11-24,,2025-12-22,,,,,,,,,,,,,
482630.KQ,삼양엔씨켐,2025-12-01,,2025-12-17,,,,,,,,,,,,,,,,,,,
307950.KS,현대오토에버,2025-10-30,,,,,,,,,,,,,,,,,,,,,
